LongDescription,answer
after installing asp.net web tools 2015 rc1 update 1 i get following error within asp.net mvc 4 projects when opening cshtml files object reference set instance objecti get same error message even i start new asp.net mvc 4 project try open cshtml file,Problem: My VS 2015 was throwing up error after I installed SSDT. Whenever I clicked on Tools >> Extensions and Update it was throwing "Object reference not set to an instance of an object" error. When I tried to open a solution it threw some provider not set correctly. Solution:After many hours of research trying out all the solutions previously mentioned by others didn't solve my problem. Every time the error popup was pointing to check the ActivityLog.xml. But I was ignoring it. After hours of frustration I decided to read the error carefully and looked into ActivitLog.xml and found that it was looking for "Could not load file or assembly &apos;System.Collections.Immutable Version=1.1.37.0". So I just started searching for this assembly and stumbled upon this link https://sergeytihon.com/2015/12/01/how-to-restore-viual-studio-2015-after-update-1-dependency-dance/and followed the steps there which fixed my issue.Went into %LOCALAPPDATA%/Local\Microsoft\VisualStudio\14.0\devenv.exe.config and searched for "System.Collections.Immutable" and change newVersion from 1.1.36.0 to 1.1.37.0Final config should look like this&lt;dependentAssembly&gt; &lt;assemblyIdentity name="System.Collections.Immutable" publicKeyToken="b03f5f7f11d50a3a" culture="neutral"/&gt; &lt;bindingRedirect oldVersion="1.0.27.0-1.1.65535.65535" newVersion="1.1.37.0"/&gt;&lt;/dependentAssembly&gt;
i just published my project my host arvixe get error works fine local server error application.directory does exist.parameter name directoryvirtualpathdescription unhandled exception occurred during execution current web request please review stack trace more information about error where originated code exception details system.argumentexception directory does exist.parameter name directoryvirtualpathsource error unhandled exception generated during execution current web request information regarding origin location exception can identified using exception stack trace below.stack trace argumentexception directory does exist.parameter name directoryvirtualpath system.web.optimization.bundle.includedirectory string directoryvirtualpath string searchpattern boolean searchsubdirectories 357 system.web.optimization.bundle.include string virtualpaths 287 iconbench.bundleconfig.registerbundles bundlecollection bundles 75 iconbench.mvcapplication.application start 128 httpexception 0x80004005 directory does exist.parameter name directoryvirtualpath system.web.httpapplicationfactory.ensureappstartcalledforintegratedmode httpcontext context httpapplication app 9160125 system.web.httpapplication.registereventsubscriptionswithiis intptr appcontext httpcontext context methodinfo handlers 131 system.web.httpapplication.initspecial httpapplicationstate state methodinfo handlers intptr appcontext httpcontext context 194 system.web.httpapplicationfactory.getspecialapplicationinstance intptr appcontext httpcontext context 339 system.web.hosting.pipelineruntime.initializeapplication intptr appcontext 253 httpexception 0x80004005 directory does exist.parameter name directoryvirtualpath system.web.httpruntime.firstrequestinit httpcontext context 9079228 system.web.httpruntime.ensurefirstrequestinit httpcontext context 97 system.web.httpruntime.processrequestnotificationprivate iis7workerrequest wr httpcontext context 256version information microsoft net framework version 4.0.30319 asp.net version 4.0.30319.237what does mean,Files that are running your application are missing. Try building and re-uploading your project. Or if you have a backup try returning from backup. Will solve the problem
i appreciate any help site supposed go live tonight i have web api controller delete method method executes fine my local machine running iis express windows 8 soon i deployed live iis server windows server 2008 r2 stopped working throws following error message http error 405.0 method allowedthe page you looking cannot displayed because invalid method http verb being usedi have looked around web solutions i implemented most reasonable ones my web config has following settings lt system.webserver gt lt validation validateintegratedmodeconfiguration false gt lt handlers&gt lt remove name extensionlessurlhandler isapi-4.0_32bit gt lt remove name extensionlessurlhandler isapi-4.0_64bit gt lt remove name extensionlessurlhandler integrated-4.0 gt lt add name extensionlessurlhandler isapi-4.0_32bit path verb getheadpostdebugputdeletepatchoptions modules isapimodule scriptprocessor windir microsoft.net framework v4.0.30319 aspnet isapi.dll precondition classicmoderuntimeversionv4.0bitness32 responsebufferlimit 0 gt lt add name extensionlessurlhandler isapi-4.0_64bit path verb getheadpostdebugputdeletepatchoptions modules isapimodule scriptprocessor windir microsoft.net framework64 v4.0.30319 aspnet isapi.dll precondition classicmoderuntimeversionv4.0bitness64 responsebufferlimit 0 gt lt add name extensionlessurlhandler integrated-4.0 path verb getheadpostdebugputdeletepatchoptions type system.web.handlers.transferrequesthandler precondition integratedmoderuntimeversionv4.0 gt lt handlers&gt lt system.webserver gt i have also tried change handler mappings request filtering iis avail please note webdav authoring rules iis seems disabled.any ideas greatly appreciatedthanks,We had to add custom headers to our web.config as our request had multiple headers that confused the API response.&lt;httpProtocol&gt;&lt;customHeaders&gt;&lt;remove name="Access-Control-Allow-Methods" /&gt;&lt;remove name="Access-Control-Allow-Origin" /&gt;&lt;remove name="Access-Control-Allow-Headers" /&gt;&lt;/customHeaders&gt;&lt;/httpProtocol&gt;
i am new asp.net mvc i have used php before easy create session select user records based current session variables i have looked everywhere internet simple step step tutorial can show me how create use sessions my c asp.net mvc 4 application i want create session user variables i can access from anywhere my controllers able use variables my linq queries thanks advance,You can store any kind of data in a session using:Session["VariableName"]=value;This variable will last 20 mins or so.
how do i set default controller my asp.net mvc 4 project without making homecontroller how should i setup default area when application starts,In case you have only one controller and you want to access every action on root you can skip controller name like thisroutes.MapRoute("Default" "{action}/{id}" new { controller = "Home" action = "Index" id = UrlParameter.Optional });
i'm very new asp.net 4.0 web api can we redirect another url end post action something like response.redirect url actually i upload file from mvc application say www.abcmvc.com through web api say www.abcwebapi.com upload here upload post action i post multi part form web api upload controller post action after uploading i would like redirect back wwwabcmvccom possible,You can check this[Route("Report/MyReport")]public IHttpActionResult GetReport(){   string url = "https://localhost:44305/Templates/ReportPage.html";   System.Uri uri = new System.Uri(url);   return Redirect(uri);}
i created mvc4 web api project using vs2012 i used following tutorial solve cross origin resource sharing http blogs.msdn.com b carlosfigueira archive/2012/07/02/cors support asp net web api rc version.aspx working successfully i post data from client side server successfully.after implementing autherization my project i used following tutorial implement oauth2 http community.codesmithtools.com codesmith community b tdupont archive/2011/03/18/oauth-2-0 mvc two legged implementation.aspx help me getting requesttoken client side.but when i post data from client side i got error xmlhttprequest cannot load http request header field content type allowed access control allow headers my client side code look like function postlogin var emp emp.username txtusername val var pass txtpassword val var hash sha1 requesttoken pass txtpassword val hash emp.password hash emp.requesttoken requesttoken var createurl http localhost 54/api login ajax type post url createurlcontenttype application json charset utf-8 data json.stringify emp statuscode 200 function txtmsg val done toastr.success success error function res toastr.error error sorry either your username password incorrect my api controller look like allowanonymous httppost public loginmodeloauth postlogin frombody loginmodeloauth model var accessresponse oauthservicebase.instance.accesstoken model.requesttoken user model.username model.password model.rememberme accessresponse.success oauthservicebase.instance.unauthorizetoken model.requesttoken var requestresponse oauthservicebase.instance.requesttoken model.errormessage invalid credentials return model else do return accessresponsereturn model my webconfig file look like lt configuration&gt lt configsections&gt lt section name entityframework type system.data.entity.internal.configfile.entityframeworksection entityframework version 4.4.0.0 culture neutral publickeytoken b77a5c561934e089 requirepermission false gt lt section name oauth type millionnodes.configuration.oauthsection millionnodes version 1.0.0.0 culture neutral gt lt sectiongroup name dotnetopenauth type dotnetopenauth.configuration.dotnetopenauthsection dotnetopenauth.core gt lt section name messaging type dotnetopenauth.configuration.messagingelement dotnetopenauth.core requirepermission false allowlocation true gt lt section name reporting type dotnetopenauth.configuration.reportingelement dotnetopenauth.core requirepermission false allowlocation true gt lt sectiongroup&gt lt configsections&gt lt oauth defaultprovider demoprovider defaultservice demoservice gt lt providers&gt lt add name demoprovider type millionnodes.oauth.demoprovider millionnodes gt lt providers&gt lt services&gt lt add name demoservice type millionnodes.oauth.demoservice millionnodes gt lt services&gt lt oauth&gt lt system.web gt lt httpmodules&gt lt add name oauthauthentication type millionnodes.module.oauthauthenticationmodule millionnodes version 1.0.0.0 culture neutral gt lt httpmodules&gt lt compilation debug true targetframework 4.0 gt lt authentication mode forms gt lt forms loginurl account login timeout 2880 gt lt authentication&gt lt pages&gt lt namespaces&gt lt add namespace system.web.helpers gt lt add namespace system.web.mvc gt lt add namespace system.web.mvc.ajax gt lt add namespace system.web.mvc.html gt lt add namespace system.web.optimization gt lt add namespace system.web.routing gt lt add namespace system.web.webpages gt lt namespaces&gt lt pages&gt lt system.web gt lt system.webserver gt lt validation validateintegratedmodeconfiguration false gt lt modules&gt lt add name oauthauthentication type millionnodes.module.oauthauthenticationmodule millionnodes version 1.0.0.0 culture neutral precondition gt lt modules&gt lt httpprotocol&gt lt customheaders&gt lt add name access control allow origin value gt lt customheaders&gt lt httpprotocol&gt lt system.webserver gt lt dotnetopenauth&gt lt messaging&gt lt untrustedwebrequest&gt lt whitelisthosts&gt lt uncomment enable communication localhost should generally activate production gt lt lt add name localhost gt gt lt whitelisthosts&gt lt untrustedwebrequest&gt lt messaging&gt lt allow dotnetopenauth publish usage statistics library authors improve library gt lt reporting enabled true gt,For Nginx the only thing that worked for me was adding this header:add_header 'Access-Control-Allow-Headers' 'AuthorizationContent-TypeAcceptOriginUser-AgentDNTCache-ControlX-Mx-ReqTokenKeep-AliveX-Requested-WithIf-Modified-Since';Along with the Access-Control-Allow-Origin header:add_header 'Access-Control-Allow-Origin' '*';Then reloaded the nginx config and it worked great. Credit https://gist.github.com/algal/5480916.
url i'm trying let work one style http somedomain.com api people staff.33311 just like sites last.fm allow all sort signs restful amp webpage urls example http www.last.fm artist psy'aviah valid url last.fm what works following scenarios http somedomain.com api people which returns all people http somedomain.com api people/staff33311 would work well what i'm afteri'd want url accept dot like example below http somedomain.com api people staff.33311 gives me http error 404.0 foundthe resource you looking has been removed had its name changed temporarily unavailable.i ve set up following things controller peoplecontroller public ienumerable&lt person&gt getallpeople return people public ihttpactionresult getperson string id var person people.firstordefault p gt p.id.tolower equals id.tolower person null return notfound return ok person webapiconfig.cspublic static void register httpconfiguration config web api configuration services web api routesconfig.maphttpattributeroutes config.routes.maphttproute name defaultapi routetemplate api controller id defaults new id routeparameter.optional i already tried following all tips blogpost http www.hanselman.com blog experimentsinwackinessallowingpercentsanglebracketsandothernaughtythingsintheaspnetiisrequesturl.aspx still won't work i also think quite tedious i wonder isn't another better more secure way.we have our id internally like so we're going have find solution fit dot one way another preferably style i'm open alternative suggestions urls need,I faced the very same issue and the circumstances I was in where I was not supposed to play with IIS and website config related settings. So I had to make it working by making changes at the code level only.The simple point is that the most common case where you would end up having dot character in the URL is when you get some input from the user and pass it as a query string or url fragment to pass some argument to the parameters in the action method of your controller.public class GetuserdetailsbyuseridController : ApiController{ string getuserdetailsbyuserid(string userId) {//some code to get user details }}Have a look at below URL where user enters his user id to get his personal details:http://mywebsite:8080/getuserdetailsbyuserid/foo.barSince you have to simply fetch some data from the server we use http GET verb. While using GET calls any input parameters can be passed only in the URL fragments.So to solve my problem I changed the http verb of my action to POST. Http POST verb has the facility of passing any user or non-user input in body also. So I created a JSON data and passed it into the body of the http POST request:{  "userid" : "foo.bar"}Change your method definition as below:public class GetuserdetailsbyuseridController : ApiController{ [Post] string getuserdetailsbyuserid([FromBody] string userId) {//some code to get user details }}Note: More on when to use GET verb and when to use POST verb here.
how return html from asp.net mvc web api controller i tried code below got compile error since response.write defined public class mycontroller apicontroller httppost public httpresponsemessage post response.write lt p&gt test&lt p&gt return request.createresponse httpstatuscode.ok,Starting with AspNetCore 2.0 it's recommended to use ContentResult instead of the Produce attribute in this case. See: https://github.com/aspnet/Mvc/issues/6657#issuecomment-322586885  This doesn't rely on serialization nor on content negotiation.[HttpGet]public ContentResult Index() {return new ContentResult {ContentType = "text/html"StatusCode = (int)HttpStatusCode.OKContent = "&lt;html&gt;&lt;body&gt;Hello World&lt;/body&gt;&lt;/html&gt;"};}
line html.actionlink reply blogreplycommentadd blog new blogpostid blogpostid replyblogpostmodel model captchavalid model.addnewcomment.displaycaptcha i get following runtime error blogpostid parameters dictionary contains null entry parameter blogpostid non nullable type system.int32 method system.web.mvc.actionresult blogreplycommentadd int32 nop.web.models.blogs.blogpostmodel boolean nop.web.controllers.blogcontroller optional parameter must reference type nullable type declared optional parameter parameter name parametersi have already assign value top var blogpostid model.id my controller public actionresult blogreplycommentadd int blogpostid blogpostmodel model bool captchavalid am i doing something wrong please give me example,You can pass values by using the below .@Html.ActionLink("About" "About" "Home"new { name = ViewBag.Name } htmlAttributes:null )Controller: public ActionResult About(string name){ViewBag.Message = "Your application description page.";ViewBag.NameTransfer = name;return View();}And the URL looks like http://localhost:50297/Home/About?name=My%20Name%20is%20Vijay
what pros cons using each technology wcf web api now merged asp.netasp.net web api now supports self hosting.i still imagine i want expose multiple protocol schemas same operation i would still lean towards wcf can mvc end point do too also does new asp.net web api expose wsdl how would client figure out what operation available them arguably best feature mvc modelbinder how robust wcf equivalent so can someone tell me what advantage does asp.net web api bring table wcf seems overwhelmingly more powerful scalable choice imo about only thing mvc web api has over wcf model probably ease development means squat ends up being serious design limitation down road,Use WCF for intranet/B2B sites n Web API for B2C/C2C/internet sites...SOAP/XML is still the standard for intra-businesses communication n it's not going to go away!!!
i'm trying publish mvc website azure webrole.when i run locally everything works fine once i publish azure surf some mvc action i get error server error application.runtime errordescription exception occurred while processing your request additionally another exception occurred while executing custom error page first exception request has been terminated.i don't understand how error handler can encounter exception because errors handled default way public class filterconfig public static void registerglobalfilters globalfiltercollection filters filters.add new handleerrorattribute my web.config lt xml version 1.0 gt lt configuration&gt lt configsections&gt lt sectiongroup name system.web.webpages.razor type system.web.webpages.razor.configuration.razorwebsectiongroup system.web.webpages.razor version 2.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 gt lt section name host type system.web.webpages.razor.configuration.hostsection system.web.webpages.razor version 2.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 requirepermission false gt lt section name pages type system.web.webpages.razor.configuration.razorpagessection system.web.webpages.razor version 2.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 requirepermission false gt lt sectiongroup&gt lt configsections&gt lt system.web.webpages.razor gt lt host factorytype system.web.mvc.mvcwebrazorhostfactory system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 gt lt pages pagebasetype system.web.mvc.webviewpage gt lt namespaces&gt lt add namespace system.web.mvc gt lt add namespace system.web.mvc.ajax gt lt add namespace system.web.mvc.html gt lt add namespace system.web.routing gt lt namespaces&gt lt pages&gt lt system.web.webpages.razor gt lt appsettings&gt lt add key webpages enabled value false gt lt appsettings&gt lt system.web gt lt httphandlers&gt lt add path verb type system.web.httpnotfoundhandler gt lt httphandlers&gt lt pagesvalidaterequest false pageparserfiltertype system.web.mvc.viewtypeparserfilter system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 pagebasetype system.web.mvc.viewpage system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 usercontrolbasetype system.web.mvc.viewusercontrol system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 gt lt controls&gt lt add assembly system.web.mvc version 4.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 namespace system.web.mvc tagprefix mvc gt lt controls&gt lt pages&gt lt system.web gt lt system.webserver gt lt validation validateintegratedmodeconfiguration false gt lt handlers&gt lt remove name blockviewhandler gt lt add name blockviewhandler path verb precondition integratedmode type system.web.httpnotfoundhandler gt lt handlers&gt lt system.webserver gt lt configuration&gt error.cshtml model system.web.mvc.handleerrorinfo viewbag.title error lt h2 gt sorry error occurred while processing your request lt h2 gt what can cause exception why can't i reproduce locally,You can use Oracle.ManagedDataAccess.dll instead (download from Oracle) include that dll in you project bin dir add reference to that dll in the project. In code "using Oracle.MangedDataAccess.Client". Deploy project to server as usual. No need install Oracle Client on server. No need to add assembly info in web.config.
i have following class generated entity framework public partial class itemrequest public int requestid get set i would like make required field required public int requestid get set however because generated code get wiped out i can't imagine way create partial class because property defined generated partial class how can i define constraint safe way,Modify the T4 template adding required annotations this file is usually named MODELNAME.ttfind where the T4 is creating the class and methods to know where to put these.   &lt;#=codeStringGenerator.IgnoreJson(navigationProperty)#&gt;//create this method in filepublic string IgnoreJson(NavigationProperty navigationProperty){string result = navigationProperty.ToEndMember.RelationshipMultiplicity == RelationshipMultiplicity.Many ? "" : @"[JsonIgnore][IgnoreDataMember]";return result;}You will also need to add the namespaces;&lt;#=codeStringGenerator.UsingDirectives(inHeader: false)#&gt;using System.ComponentModel.DataAnnotations;using Newtonsoft.Json;using System.Runtime.Serialization;Rebuild your classes by saving your model all your methods should be annotated.
i have asp.net mvc project i want implement bundling everything i can find internet directs me open bundleconfig.cs app start however file does exist my project i have only three files folder filterconfig routeconfig webapiconfig.bundle config wasn't generated when i created solution iirc blank asp.net mvc project beginning seems like should really easy do i just plain cannot figure outps just clarify those reading closely mvc4 net 4.5 app created from scratch solution marked below,If you are using "MVC 5" you may not see the file and you should follow these steps: http://www.techjunkieblog.com/2015/05/aspnet-mvc-empty-project-adding.htmlIf you are using "ASP.NET 5" it has stopped using "bundling and minification" instead was replaced by gulp bower and npm. More information see https://jeffreyfritz.com/2015/05/where-did-my-asp-net-bundles-go-in-asp-net-5/
i have bit weird problem.i developed app mvc 4 new web api works fine locally i installed mvc4 server deployed app now i get following error could load file assembly system.net.http version 2.0.0.0 culture neutral publickeytoken 31bf3856ad364e35 one its dependencies located assembly manifest definition does match assembly reference exception from hresult 0x80131040 description unhandled exception occurred during execution current web request please review stack trace more information about error where originated infunny enough version system.net.http i locally have either my package folder asp.net mvc 4 assemblies folder 1000 i actually removed reference system.net.http from my project i still get same message i'm bit confused about where gets 2.0.0.0 reference from why would work locally server.looking nuget dependencies asp.net web api core libraries beta depends system.net.http.formatting.and system.net.http.formatting depends system.net.http.i guess where comes from i do have version 2.0.20126.16343 package installed just dll inside has version 1.0.0.0 am i missing something update sub application another asp.net app other one still based webforms so something getting messed up i do clean under assembly section web.config does even find app itself anymore,For this error (and similar) it's worth going through NuGet Consolidate (Solution > Manage NuGet Packages...) to ensure the same referenced component  versions are consistent in each class library referenced in the solution since even a slightly older version may have dependencies on other older components. It's straightforward to use in conjunction with Updates and can save a lot of pain.This solved this issue for me and I would say it's a must to get familiar with if you're creating helper libraries that also reference MVC or other web-based NuGet components.
i've created web api filter using system.web.http.filters.actionfilterattribute i am unable get work inside asp.net mvc 4 i tried adding registerglobalfilters method didn't work.so one using web api hosted asp.net mvc how does one register filters,Instead of using global filters I prefer to do this :[MyWebApiFilter]public class CustomizedApiControllerBase : ApiController{   ...}And after that inherit all of api controllers from CustomizedApiControllerBaseThis approach is more expressive in comparison with global filters in global.ascx file. 
asp.net mvc4 bootstrap 3 application running from microsoft visual studio express 2013 web ide.chrome console shows always errorhttp localhost 52216/admin fonts glyphicons halflings regular.woff2failed load resource server responded status 404 found file exists fonts directory solution explorer build action set content copy output directory do copy like other font files bootstrap 3 added solution using nuget.how fix so error does occur application shows glyphicon fontawesome icons properly error always occurs application startup,For me the problem was twofold: First the version of IIS I was dealing with didn't know about the .woff2 MIME type only about .woff. I fixed that using IIS Manager at the server level not at the web app level so the setting wouldn't get overridden with each new app deployment. (Under IIS Manager I went to MIME types and added the missing .woff2 then updated .woff.)Second and more importantly I was bundling bootstrap.css along with some other files as "~/bundles/css/site". Meanwhile my font files were in "~/fonts". bootstrap.css looks for the glyphicon fonts in "../fonts" which translated to "~/bundles/fonts" -- wrong path.In other words my bundle path was one directory too deep. I renamed it to "~/bundles/siteCss" and updated all the references to it that I found in my project. Now bootstrap looked in "~/fonts" for the glyphicon files which worked. Problem solved.Before I fixed the second problem above none of the glyphicon font files were loading. The symptom was that all instances of glyphicon glyphs in the project just showed an empty box. However this symptom only occurred in the deployed versions of the web app not on my dev machine. I'm still not sure why that was the case.
i'm trying out mvc4 system.web.optimization 1.0 scriptbundle feature i have following configuration public class bundleconfig public static void registerbundles bundlecollection bundles shared scriptsbundle canvasscripts new scriptbundle bundlepaths.canvasscripts include scripts modernizr include scripts/json2.js include scripts columnizer.js include scripts jquery.ui.message.min.js include scripts shared achievements.js include scripts shared canvas.js bundles.add canvasscripts following view lt script type text javascript src scripts.url bundlepaths.canvasscripts gt lt script&gt where bundlepaths.canvasscripts bundles scripts canvas renders lt script type text javascript src bundles scripts canvas v uth3xqh0uxwjjzi-gtx03eu183bjnpfng8aniog14_41 gt lt script&gt so far so good except scripts shared achievements.js first script bundled source depends every script included before scriptbundle how can i ensure honors order which i add include statements bundle updatethis relatively new asp.net mvc 4 application referencing optimization framework pre release package i removed added rtm package from http nuget.org packages microsoftaspnetweboptimization rtm version debug true web.config scripts.render bundles scripts canvas renders individual script tags correct order debug false web.config combined script has achievements.js script first since its function definition object constructor called later runs without error perhaps minifier smart enough figure out dependencies i also tried ibundleorderer implementation darin dimitrov suggested rtm both debug options behaved same.so minified version order i expect works,@Darin Dimitrov's answer works perfectly for me but my project is written in VB so here's his answer converted to VBPublic Class AsIsBundleOrdererImplements IBundleOrdererPublic Function IBundleOrderer_OrderFiles(ByVal context As BundleContext ByVal files As IEnumerable(Of FileInfo)) As IEnumerable(Of FileInfo) Implements IBundleOrderer.OrderFilesReturn filesEnd FunctionEnd ClassTo Use it:Dim scriptBundleMain = New ScriptBundle("~/Scripts/myBundle")scriptBundleMain.Orderer = New AsIsBundleOrderer()scriptBundleMain.Include("~/Scripts/file1.js""~/Scripts/file2.js")bundles.Add(scriptBundleMain)
i'm having problems trying get unobtrusive jquery validation work partial view loaded dynamically through ajax call.i ve been spending days trying get code work luck.here s view model mvcapplication2.models.test using html.beginform html.validationsummary true lt div id res gt lt div&gt lt input id submit type submit value submit gt partial view model mvcapplication2.models.test@html.textareafor m gt m.myproperty html.validationmessagefor m gt m.myproperty lt script type text javascript gt validator.unobtrusive.parse document lt script&gt model public class test required errormessage required field public int myproperty get set controller public actionresult getview return partialview test finally javascript doument ready function ajax url test getview'success function res res html res validator.unobtrusive.parse res submit click function form valid alert valid return true else alert valid return false validation does work even i don't fill any information texbox submit event shows alert valid however instead loading dynamically view i use html.partial test model render partial view main view i don't do ajax call validation works just fine.this probably because i load content dynamically controls don't exist dom yet i do call validator.unobtrusive.parse res which should enough let validator about newly loaded controls can anyone help,just copy this code again in end of modal code &lt;script src="~/Scripts/jquery.unobtrusive-ajax.min.js"&gt;&lt;/script&gt;&lt;script src="~/Scripts/jquery.validate.unobtrusive.min.js"&gt;&lt;/script&gt;;)
i have build net4.5 asp.net mvc4 web app which works fine locally iis express amp dev server once i deploy my web server throws 403 error i have installed net 4.5rc server even tried aspnet regiis ibit everyone recommended issues previous versions mvc net did help.any ideas edit more info about situation server 32bit i have 4 other mvc3 applications work fine just my mvc4 app working,In my case neither Windows Features nor aspnet_regiis -i didn't do the work. After hours of digging in the Internet I made my own solution:In the IIS Manager in Modules I changed inherit to local in UrlRoutingModule-4.0 node:In web.config I pasted a mix of some tips from this forum:&lt;system.webServer&gt;&lt;modules runAllManagedModulesForAllRequests="true"&gt;&lt;remove name="UrlRoutingModule-4.0"&gt;&lt;/remove&gt;&lt;add name="UrlRoutingModule-4.0" type="System.Web.Routing.UrlRoutingModule" preCondition=""&gt;&lt;/add&gt;&lt;/modules&gt;&lt;/system.webServer&gt;Hope it helps
i'm trying render html list looks like following using razor view engine lt ul&gt lt li id item_1 gt item 1 lt li&gt lt li id item_2 gt item 2 lt li&gt lt ul&gt code i am attempting use render list lt ul&gt foreach var item model.theitems lt li id item item.theitemid gt item item.theitemid lt li&gt lt ul&gt parser choking because thinks everything right underscore id attribute plain text should parsed i'm uncertain how instruct parser render theitemid.i don't want property model object includes item prefix.i also have keep syntax i am using list jquery sortable serialize function requires id attribute formatted syntax,You can even use this way to concat more strings:&lt;li id="@("item-"+item.Order + "item_"+item.ShopID)" class="ui-state-default"&gt;&lt;/li&gt;Here is another post.Hope helps someone.
i come from using asp.net mvc web api now i am starting use angular i am clear proper way mix them.once i am using angular does mvc sever side concepts still provide any value should i strictly using web api purely get data angular http calls any tips you have asp.net mvc guy transitioning angular would helpful,You can use Angular framework for front end development i.e to construct views. It provides you a robust architecture and once you learn you will find it's advantages over Asp.net MVC's razor view engine. To fetch data you have to use WebAPIs and now ASP.Net MVC project support both WebAPI and MVC controllers out of the box. You can refer below link start with Angular and ASP.Net MVC application development.http://hive.rinoy.in/angular4-and-asp-net-mvc-hybrid-application/There are two frameworks currently available for developing UI components for angular applications. I have used both these frameworks in one of the angular projects that I worked.Materialhttps://material.angular.io/PrimeNGhttps://www.primefaces.org/primeng/#/
hi i am inserting some values sql table using c mvc4 actually i want insert values return id last inserted record i use following code.public class memberbasicdata public int id get set public string mem na get set public string mem occ get set id automatically increment database when inserted.public int createnewmember string mem na string mem occ using sqlconnection con new sqlconnection config.connectionstring using sqlcommand cmd new sqlcommand insert mem basic mem namem occ values na@occ con cmd.parameters.addwithvalue na mem na cmd.parameters.addwithvalue occ mem occ con.open int modified cmd.executenonquery con.state system.data.connectionstate.open con.close return modified i know executenonquery denotes numbers affecting row instead i useint modified int cmd.executescalar working please help me solving any code like cmd.executeinsertandgetid working my code,using(SqlCommand cmd=new SqlCommand("INSERT INTO Mem_Basic(Mem_NaMem_Occ) " +"VALUES(@na@occ);SELECT SCOPE_IDENTITY();"con)){cmd.Parameters.AddWithValue("@na" Mem_NA);cmd.Parameters.AddWithValue("@occ" Mem_Occ);con.Open();int modified = cmd.ExecuteNonQuery();if (con.State == System.Data.ConnectionState.Open) con.Close();return modified;}SCOPE_IDENTITY : Returns the last identity value inserted into an identity column in the same scope. for more details http://technet.microsoft.com/en-us/library/ms190315.aspx
i have method does post like belowvar response await client.postasjsonasync url entity response.issuccessstatuscode read response strongly typed objectreturn await response.content.readasasync lt t&gt my question how can i obtain actual json got posted from entity object i would like log json gets posted so nice have without me having do json serialize myself,Network tracing also available for next objects (see article on msdn)System.Net.Sockets Some public methods of the Socket TcpListener TcpClient and Dns classesSystem.Net Some public methods of the HttpWebRequest HttpWebResponse FtpWebRequest and FtpWebResponse classes and SSL debug information (invalid certificates missing issuers list and client certificate errors.)System.Net.HttpListenerSome public methods of the HttpListener HttpListenerRequest and HttpListenerResponse classes.System.Net.CacheSome private and internal methods in System.Net.Cache.System.Net.HttpSome public methods of the HttpClient DelegatingHandler HttpClientHandler HttpMessageHandler MessageProcessingHandler and WebRequestHandler classes.System.Net.WebSockets.WebSocketSome public methods of the ClientWebSocket and WebSocket classes.Put next lines of code to the configuration file&lt;configuration&gt;&lt;system.diagnostics&gt;  &lt;sources&gt;&lt;source name="System.Net" tracemode="includehex" maxdatasize="1024"&gt;  &lt;listeners&gt;&lt;add name="System.Net"/&gt;  &lt;/listeners&gt;&lt;/source&gt;&lt;source name="System.Net.Cache"&gt;  &lt;listeners&gt;&lt;add name="System.Net"/&gt;  &lt;/listeners&gt;&lt;/source&gt;&lt;source name="System.Net.Http"&gt;  &lt;listeners&gt;&lt;add name="System.Net"/&gt;  &lt;/listeners&gt;&lt;/source&gt;&lt;source name="System.Net.Sockets"&gt;  &lt;listeners&gt;&lt;add name="System.Net"/&gt;  &lt;/listeners&gt;&lt;/source&gt;&lt;source name="System.Net.WebSockets"&gt;  &lt;listeners&gt;&lt;add name="System.Net"/&gt;  &lt;/listeners&gt;&lt;/source&gt;  &lt;/sources&gt;  &lt;switches&gt;&lt;add name="System.Net" value="Verbose"/&gt;&lt;add name="System.Net.Cache" value="Verbose"/&gt;&lt;add name="System.Net.Http" value="Verbose"/&gt;&lt;add name="System.Net.Sockets" value="Verbose"/&gt;&lt;add name="System.Net.WebSockets" value="Verbose"/&gt;  &lt;/switches&gt;  &lt;sharedListeners&gt;&lt;add name="System.Net"  type="System.Diagnostics.TextWriterTraceListener"  initializeData="network.log"/&gt;  &lt;/sharedListeners&gt;  &lt;trace autoflush="true"/&gt;&lt;/system.diagnostics&gt;  &lt;/configuration&gt;  
