Title,LongDescription,answer
what references.js used,what references.js file used new asp.net mvc 4 project,MSDN documentation: JavaScript IntelliSenseIn brief _references.js stores the list of JS files paths for which you want the Visual Studio to gather and build the intelisense (aka "code complete"). The VS project adds there some common JS libraries like jQuery to build the intellisense for it. You can add a reference to your custom JS file in form like this: /// &lt;reference path="MyScriptFile.js" /&gt;
owin startup class missing,i'm getting error my project able find reference owin startup class i've even installed all owin reference packages through nuget still getting same issue i'm using visual studio 2012 mvc4 following errors occurred while attempting load app.no assembly found containing owinstartupattribute assembly found containing startup assemblyname startup class disable owin startup discovery add appsetting owin automaticappstartup value false your webconfig specify owin startup assembly class method add appsetting owin appstartup fully qualified startup class configuration method name your webconfig,In our project we didn't need the OWIN functionality so we removed all the owin references from the initial ASP.NET MVC template project. The problem occured after removing the OWIN startup class.The problem was the extra owin dll's in my bin folder. When I deleted them the problem was resolved. You should delete them by deleting the bin folder. Clean Solution does not delete these dlls.Somehow IIS still executes the OWIN dll's when they are in the bin folder.
why use scripts.render ldquo bundles jquery&rdquo,how does scripts.render bundles jquery differ from just referencing script from html like this&lt script src bundles jquery.js type text javascript gt lt script&gt any performance gains,You can also use:@Scripts.RenderFormat("&lt;script type=\"text/javascript\" src=\"{0}\"&gt;&lt;/script&gt;" "~/bundles/mybundle")To specify the format of your output in a scenario where you need to use Charset Type etc.
how do i set cookie httpclient 39 s httprequestmessage,i am trying use web api httpclient do post endpoint requires login form http cookie identifies account only something ifdef'ed out release version how do i add cookie httprequestmessage,The accepted answer is the correct way to do this in most cases. However there are some situations where you want to set the cookie header manually. Normally if you set a "Cookie" header it is ignored but that's because HttpClientHandler defaults to using its CookieContainer property for cookies. If you disable that then by setting UseCookies to false you can set cookie headers manually and they will appear in the request e.g.var baseAddress = new Uri("http://example.com");using (var handler = new HttpClientHandler { UseCookies = false })using (var client = new HttpClient(handler) { BaseAddress = baseAddress }){var message = new HttpRequestMessage(HttpMethod.Get "/test");message.Headers.Add("Cookie" "cookie1=value1; cookie2=value2");var result = await client.SendAsync(message);result.EnsureSuccessStatusCode();}
mvc4 datatype.date editorfor won 39 t display date value chrome fine internet explorer,i'm using datatype.date attribute my model editorfor my view working fine internet&nbsp explorer&nbsp 8 internet&nbsp explorer&nbsp 9 google chrome showing date picker instead displaying value just displays month day year faded gray text.why won't google chrome display value model datatype datatype.date public nullable&lt system.datetime gt estpurchasedate get set view lt td class fieldlabel gt est pur date&lt td&gt lt td class field gt html.editorfor m gt m.estpurchasedate lt td&gt,In MVC5.2 add Date.cshtml to folder ~/Views/Shared/EditorTemplates:@model DateTime?@{IDictionary&lt;string object&gt; htmlAttributes;object objAttributes;if (ViewData.TryGetValue("htmlAttributes" out objAttributes)){htmlAttributes = objAttributes as IDictionary&lt;string object&gt; ?? HtmlHelper.AnonymousObjectToHtmlAttributes(objAttributes);}else{htmlAttributes = new RouteValueDictionary();}htmlAttributes.Add("type" "date");String format = (Request.UserAgent != null &amp;&amp; Request.UserAgent.Contains("Chrome")) ? "{0:yyyy-MM-dd}" : "{0:d}";@Html.TextBox("" Model format htmlAttributes)}
when should i use async controllers asp.net mvc,i have some concerns using async actions asp.net mvc when does improve performance my apps when does good use async action everywhere asp.net mvc regarding awaitable methods shall i use async await keywords when i want query database via ef nhibernate other orm how many times can i use await keywords query database asynchronously one single action method,You may find my MSDN article on the subject helpful; I took a lot of space in that article describing when you should use async on ASP.NET not just how to use async on ASP.NET.  I have some concerns using async actions in ASP.NET MVC. When it improves performance of my apps and when - not.First understand that async/await is all about freeing up threads. On GUI applications it's mainly about freeing up the GUI thread so the user experience is better. On server applications (including ASP.NET MVC) it's mainly about freeing up the request thread so the server can scale.In particular it won't:Make your individual requests complete faster. In fact they will complete (just a teensy bit) slower.Return to the caller/browser when you hit an await. await only "yields" to the ASP.NET thread pool not to the browser.  First question is - is it good to use async action everywhere in ASP.NET MVC?I'd say it's good to use it everywhere you're doing I/O. It may not necessarily be beneficial though (see below).However it's bad to use it for CPU-bound methods. Sometimes devs think they can get the benefits of async by just calling Task.Run in their controllers and this is a horrible idea. Because that code ends up freeing up the request thread by taking up another thread so there's no benefit at all (and in fact they're taking the penalty of extra thread switches)!  Shall I use async/await keywords when I want to query database (via EF/NHibernate/other ORM)?You could use whatever awaitable methods you have available. Right now most of the major players support async but there are a few that don't. If your ORM doesn't support async then don't try to wrap it in Task.Run or anything like that (see above).Note that I said "you could use". If you're talking about ASP.NET MVC with a single database backend then you're (almost certainly) not going to get any scalability benefit from async. This is because IIS can handle far more concurrent requests than a single instance of SQL server (or other classic RDBMS). However if your backend is more modern - a SQL server cluster Azure SQL NoSQL etc - and your backend can scale and your scalability bottleneck is IIS then you can get a scalability benefit from async.  Third question - How many times I can use await keywords to query database asynchronously in ONE single action method?As many as you like. However note that many ORMs have a one-operation-per-connection rule. In particular EF only allows a single operation per DbContext; this is true whether the operation is synchronous or asynchronous.Also keep in mind the scalability of your backend again. If you're hitting a single instance of SQL Server and your IIS is already capable of keeping SQLServer at full capacity then doubling or tripling the pressure on SQLServer is not going to help you at all.
asp.net bundles how disable minification,i have debug true both my web.config s i just don't want my bundles minified nothing i do seems disable i've tried enableoptimisations false here my code javascriptbundles.add new scriptbundle bundles mainjs include scripts regular lib mvc jquery.validate.unobtrusive.js include scripts regular lib mvc jquery.validate include scripts regular lib bootstrap.js includedirectory scripts regular modules js true includedirectory scripts regular pages js true includedirectory scripts regular misc js true cssbundles.add new stylebundle bundles maincss include content css regular lib bootstrap.css includedirectory content css regular modules css true includedirectory content css regular pages css true,Conditional compilation directives are your friend:#if DEBUGvar jsBundle = new Bundle("~/Scripts/js");#elsevar jsBundle = new ScriptBundle("~/Scripts/js");#endif
asp.net 4.5 has been registered web server,my win 7 development machine order use sql express instance instead localdb installed default i unchecked use iis express my mvc 4 project properties page web tab i got following error asp.net 4.5 has been registered web server you need manually configure your web server asp.net 4.5 order your site run correctly.i verified asp.net activated within iis features.please what could done resolve,On Windows 8.1 since .NET 4.5 is built-in the fix is to run this from an administrative command-prompt:dism.exe /Online /Enable-Feature /all /FeatureName:IIS-ASPNET45
test method inconclusive test wasn 39 t run error,i have test class below i have posted sample test from test classnamespace adminportal.tests.controller test.customer testclass public class businessunitcontrollertests private ibusinessunitrepository mockbusinessunitrepository private businessunitcontroller controller testinitialize public void testinitialize mockbusinessunitrepository mockrepository.generatemock lt ibusinessunitrepository&gt controller new businessunitcontroller mockbusinessunitrepository testcleanup public void testcleanup mockbusinessunitrepository null controller.dispose controller null region index action tests testmethod public void index action calls getallbusinessunit mockbusinessunitrepository.stub x gt x.getallbusinessunit controller.index mockbusinessunitrepository.assertwascalled x gt x.getallbusinessunit when i run project i get following screeni checked references test project has reference main project.any idea why test running saying were inconclusive edit 1 i saw post here changed my test setting default processor architecture x64 still doesn't work,Just in case none of the above options worked for anyone I fixed my instance of this error by noticing a corrupt entry in my App.Config due to a missing nuget package in the test project.
razor view throwing ldquo name 39 model 39 does exist current context&rdquo,after significant refactoring my mvc 4 application razor shows error while debugging views name model does exist current context.this offending line code model icollection&lt datasourcebyactive&gt i know usage model correct.why happening how can i fix,make sure you have the following in both your site web.config and views directory web.config in the appSettings section&lt;add key="webpages:Version" value="2.0.0.0" /&gt;For MVC5 use:&lt;add key="webpages:Version" value="3.0.0.0" /&gt;(And it only exists in the main Web.config file.)
how can i disable vwd js artery vs.net 2013,i've upgraded vs.net 2013 now every time i start debug asp.net mvc4 app iis some how vwd js artery created script interfering my requirejs setup crashes jquery reference does anyone know how can i get rid script vwd js arterywindow.vwdtempjquery window.jquery window window.jquery window null window.vwdtempjson window.json jquery v1.8.2 jquery.com jquery.org license restore original jquery references.window.jquery window window.vwdtempjquery window.vwdtempjquery null restore original json.if window.json window.vwdtempjson window.json window.vwdtempjson le has been fixed visual studio 2013 rtm,I found that it was still running until I actually added a value for it in the Web.config appSettings to turn it off.&lt;add key="vs:EnableBrowserLink" value="false" /&gt;
webapi 39 s ldquo message&rdquo ldquo error has occurred&rdquo iis7 iis express,i'm working asp.net mvc 4 webapi am having lot fun running my local computer iis express i've configured iis express serve remote machines too so other my company using my computer our webserver after deciding less than optimal solution we decided put webapi remote server after installing net 45 when i use fiddler sent post controller my local machine returns correct response yet when i change domain webserver running iis7 same post returns cryptic message error has occurred message anyone have any idea what could going,Basically:Use IncludeErrorDetailPolicy instead if CustomErrors doesn't solve it for you (e.g. if you're ASP.NET stack is >2012):GlobalConfiguration.Configuration.IncludeErrorDetailPolicy = IncludeErrorDetailPolicy.Always;Note: Be careful returning detailed error info can reveal sensitive information to 'hackers'. See Simon's comment on this answer below.TL;DR versionFor me CustomErrors didn't really help. It was already set to Off but I still only got a measly an error has occurred message. I guess the accepted answer is from 3 years ago which is a long time in the web word nowadays. I'm using Web API 2 and ASP.NET 5 (MVC 5) and Microsoft has moved away from an IIS-only strategy while CustomErrors is old skool IIS ;).Anyway I had an issue on production that I didn't have locally. And then found I couldn't see the errors in Chrome's Network tab like I could on my dev machine. In the end I managed to solve it by installing Chrome on my production server and then browsing to the app there on the server itself (e.g. on 'localhost'). Then more detailed errors appeared with stack traces and all.Only afterwards I found this article from Jimmy Bogard (Note: Jimmy is mr. AutoMapper!). The funny thing is that his article is also from 2012 but in it he already explains that CustomErrors doesn't help for this anymore but that you CAN change the 'Error detail' by setting a different IncludeErrorDetailPolicy in the global WebApi configuration (e.g. WebApiConfig.cs):GlobalConfiguration.Configuration.IncludeErrorDetailPolicy = IncludeErrorDetailPolicy.Always;Luckily he also explains how to set it up that webapi (2) DOES listen to your CustomErrors settings. That's a pretty sensible approach and this allows you to go back to 2012 :P.Note: The default value is 'LocalOnly' which explains why I was able to solve the problem the way I described before finding this post. But I understand that not everybody can just remote to production and startup a browser (I know I mostly couldn't until I decided to go freelance AND DevOps).
version wildcard mvc4 bundle,mvc 4 we have bundles while defining bundles we can use wildcards like all files folder.in example below what does version mean public static void registerbundles bundlecollection bundles bundles.add new scriptbundle bundles jquery include scripts jquery version js,This bundle is able to accomodate version numbers in script names. So updating jQuery to a new version in your application (via NuGet or manually) doesn't require any code / markup changes.See the following link for more information on bundling: http://weblogs.asp.net/jgalloway/archive/2012/08/16/asp-net-4-5-asp-net-mvc-4-asp-net-web-pages-2-and-visual-studio-2012-web-developer-features.aspx
asp.net mvc framework 4.5 css bundles does work hosting,i am runing app app harbor written mvc4.a bundle css files doesnt work my local computer debug mode i see code app i see files app works expected lt link href content css home basic jquery slider.css rel stylesheet gt lt link href content css home home.css rel stylesheet gt when i upload app appharbor i see bundle code app doesnt work lt link href content css home v zhvoipunuvcozhjybcqwpmlozayor4te6k-pm29whqi1 rel stylesheet gt when i browse link href i get 403 forbidden access denied.how troubleshoot,This issue is by default .NET does not "process" requests that have a .js or .css extension.There are two fixes for this (you only need to do ONE)A) Remove the extensions from the bundle names. (recommended) This will cause .NET to process the request and run it through the BundleModule.B) Add this to your web.config in the system.webServer section which will cause .NET to run .js and .css requests through the BundleModule.&lt;modules runAllManagedModulesForAllRequests="true"&gt;  &lt;remove name="BundleModule" /&gt;  &lt;add name="BundleModule" type="System.Web.Optimization.BundleModule" /&gt;&lt;/modules&gt;Big shout out to Ray Moro who figured out the actual cause and shared it with me on my blog:http://blog.cdeutsch.com/2012/11/fixing-404-errors-for-aspnet-mvc-apps.html
jsonp asp.net web api,i am working creating new set services asp.mvc mvc 4 using web api so far great i have created service gotten work now i am trying consume using jquery i can get back json string using fiddler seems ok because service exists separate site trying call jquery errors allowed so clearly case where i need use jsonp.i know web api new i'm hoping someone out can help me.how do i make call web api method using jsonp,Here is an updated version of the JsonpMediaTypeFormatter for use with WebAPI RC:public class JsonpMediaTypeFormatter : JsonMediaTypeFormatter{private string callbackQueryParameter;public JsonpMediaTypeFormatter(){SupportedMediaTypes.Add(DefaultMediaType);SupportedMediaTypes.Add(new MediaTypeHeaderValue("text/javascript"));MediaTypeMappings.Add(new UriPathExtensionMapping("jsonp" DefaultMediaType));}public string CallbackQueryParameter{get { return callbackQueryParameter ?? "callback"; }set { callbackQueryParameter = value; }}public override Task WriteToStreamAsync(Type type object value Stream stream HttpContent content TransportContext transportContext){string callback;if (IsJsonpRequest(out callback)){return Task.Factory.StartNew(() =&gt;{var writer = new StreamWriter(stream);writer.Write(callback + "(");writer.Flush();base.WriteToStreamAsync(type value stream content transportContext).Wait();writer.Write(")");writer.Flush();});}else{return base.WriteToStreamAsync(type value stream content transportContext);}}private bool IsJsonpRequest(out string callback){callback = null;if (HttpContext.Current.Request.HttpMethod != "GET")return false;callback = HttpContext.Current.Request.QueryString[CallbackQueryParameter];return !string.IsNullOrEmpty(callback);}}
how can i pass parameters partial view mvc 4,i have link like lt href member memberhome profile id gt lt span&gt profile&lt span&gt lt a&gt when i click call partial page switch string viewbag.details case profile html.partial profile break partial page profile contains html.action action controller model.paramter example html.action memberprofile member new id 1 id always changingmy doubt how can i pass id model.parameter part my controllers public actionresult memberhome string id viewbag.details id return view public actionresult memberprofile int id 0 memberdata md new member getmemberprofile id return partialview profilepage md,One of The Shortest method i found for single value while i was searching for myself is just passing single string and setting string as model in view like this.In your Partial calling side@Html.Partial("ParitalAction" "String data to pass to partial")And then binding the model with Partial View like this @model stringand the using its value in Partial View like this@ModelYou can also play with other datatypes like array int or more complex data types like IDictionary or something else.Hope it helps
could load file assembly 39 system.net.http.formatting 39 one its dependencies system cannot find path specified,i have small mvc app i use practice reasons now i am encountering error every time i try debug could load file assembly system.net.http.formatting one its dependencies system cannot find path specified.i ve googled cannot find solution i'm using net 4.5.it can't dll file because i'm using net 45,Remove all code references to System.Net.*in the package window Install-Package Microsoft.AspNet.WebApi.ClientClean and rebuild your project
required anti forgery form field ldquo requestverificationtoken&rdquo present error user registration,i am using membership.create user function following error occurring required anti forgery form field requestverificationtoken presenthow can i fix,In my case I had this in my web.config:&lt;httpCookies requireSSL="true" /&gt;But my project was set to not use SSL. Commenting out that line or setting up the project to always use SSL solved it.
how add second css class conditional value razor mvc 4,while microsoft has created some automagic rendering html attributes razor mvc4 took me quite some time find out how render second css class element based conditional razor expression i would like share you.based model property model.details i want show hide list item details div should shown otherwise should hidden using jquery all i need do add class show hide respectively other purposes i also want add another class details so my mark up should lt div class details show gt details lt div&gt lt div class details hide gt details lt div&gt below i show some failed attempts resulting mark up assuming details lt div model.details.count gt 0 class details show class details hide gt render lt div class details hide gt lt div model.details.count gt 0 class details show class details hide gt render lt div class details hide&amp quot gt lt div model.details.count gt 0 class details show class details hide gt render lt div class details hide&amp 39 gt none correct mark up,This:&lt;div class="details @(@Model.Details.Count &gt; 0 ? "show" : "hide")"&gt;will render this:&lt;div class="details hide"&gt;and is the mark-up I want.
how call another controller action from controller mvc,i need call controller b action fileuploadmsgview from controller need pass parameter code its going controller b fileuploadmsgview controllera private void test try some codes hereviewbag.fileuploadmsg file uploaded successfully viewbag.fileuploadflag 2 redirecttoaction b fileuploadmsgview new fileuploadmsg file uploaded successfully controllerb receiving part public actionresult fileuploadmsgview string fileuploadmsg return view,As @mxmissile says in the comments to the accepted answer you shouldn't new up the controller because it will be missing dependencies set up for IoC and won't have the HttpContext.Instead you should get an instance of your controller like this:var controller = DependencyResolver.Current.GetService&lt;ControllerB&gt;();controller.ControllerContext = new ControllerContext(this.Request.RequestContext controller);
